text,sentiment
sok far good,Positif
lapor internet slow,Positif
biasa internet mati jatuh tempo ganggu ngerank game bgst,Positif
iniini mulu teknisi bosan kali ya ganti rusa kali kendala terussss,Positif
aplikasi ya blank kosong eror ya,Negatif
login reset password respons,Positif
kacau provider inimasa henti langgan minimal tahunkalo kena denda pinalti main salesnya pemberitahuan bagong nama,Negatif
download,Negatif
cs slow respon,Positif
mantap,Positif
ganti password ya,Positif
pasang lot speed sesuai expectasinya,Positif
jaring putus minggu kecewa costumer,Positif
buruk internet los content creator butuh internet normal pasang kali alami burukk buruk,Negatif
jaring lancar banget mantap daerah kayuringin jaya bekas selatan ya pakai sih moga lancar kendala maju oxygenid,Positif
februari minggu interner mati tangan sih internet cuman sisa internet mati kayak cari provider,Negatif
layan trouble buruk wifi rumah internet kunjung baik asli parahhh banget kaya ganti wifi tenang trouble gerak cepat tangan,Positif
bangkai sales teknisi becus sales slot kosong gilir bayar pasang teknisi bilang slot kosong gilir refund kerjanyatanya duit inti oxygen becus ati masang oxygen,Negatif
testimoni yakasian calon langgan kecewa nntgw tahun pakai inipernah dctrus dc hari kali jam an malam subuh dcya bukti murah murah kualitas nyacocok ya internet keluarga sih anak balitaklo gamer bisnis ya ngeri sedap,Positif
mohon fitur keluh langgan aplikasi biar keluh tangan jam v,Positif
wkwkwk proses refund kerja pasang wifi kendala jalur tiang langgan bikin kesel,Positif
tangan keluh langgan buruk kota bogor utara mohon wa keluh langgan teknisi tunggu besok lusa,Positif
parah sih ganggu loh,Negatif
terimakasih oxygen steam dll kena blokir,Negatif
ecek invoice terussssssss bayarr bayar woy benerin malesss kerja,Positif
aneh ya wifi kelas oxygen sistem cuman aju tambah mbps sistem pasang barubuat langgan upgradewaktu pasang kena rban team lapang nyako layan buruk yabukan ya senang langgan cari untung swndiri busuk banget,Positif
bagus,Negatif
gua makek wifi nih masalah internet down jam jam gua ngepush main game kayak jam pagi malam komplen suruh restart restar mulu pemakain hp gua paksa makek wifi sinyal rada susah,Negatif
ganti sandi kantor,Negatif
since oktoberrrr desember kali lost langsung ditangain teknisi isp baik isp sepupu gue dijaksel,Positif
operasional nya ya kak rumah kali konplain jelekk banget bayar ngadatt susah tau ya,Positif
kasih bintang ganggu lot kali lost merah kirim lapor apk selfcare oxygen pagi siang jam an langsung teknisi baik mantap pakai oxygen kecewa,Positif
update baru login developer ya stupid,Positif
aplikasi sih ok responnya lelet banget los konek,Positif
payah ah pakai fitur app susah login lupa password pakai metode lupa password kode verifnya masuk email,Negatif
guna jaring down login selfcare id temu mohon bantu,Positif
bantu mudah akses akun oxygen,Positif
bulan langgan kali eror telpon call centre suruh tunggu mulu jatuh tempo bayar nih suruh tunggu bayar,Negatif
install aplikasi login password salah login jelek banget,Negatif
moga provider top antar top perhati klien komplain modal maju,Positif
layan lambat chat tanggal respon suruh tunggu tunggu,Positif
pakai oxygen alhamdulilah lancar pakai ya hujan gede petir lancar pas telat bayar mggu eh muncul tagih ya sengaja gue bayar tanggal ya langsung putusin oxygen ya yaudah stop oxygen ya pasang sabtu daftar pasang mggu bayar senin pasang langsung lancar sok telat bayar sih gue mah,Positif
buka aplikasi force close,Negatif
asli kapok asa tipu wifi bayar awal pasang jam pakai hp lot ampun speed mbps omon doang sesuai rugi banget wifi giniannnn,Positif
sistempenanganan cs ya bagus gilir nawarinnya semangat tlpn gilir tangan kembali dana chat ya balas sekali balas cuman kali parah pt resmi kasin estimasi kembali dana aneh,Positif
aplikasi bantu mudah langgan oxygen promo ya sukses,Positif
mantap kali,Positif
ngeleg stabil pakai provider,Positif
update loginpadahal username password benarakhir ya versi error hasil loginkalau jaring bagus kendalaterima kasih,Positif
parah parah loss costumer service,Negatif
hubung internet,Positif
jasa layan internet stabiluntuk layan respon ya cepat layanani oxygenid,Positif
jaring wifi baik rekomendasi,Positif
aduh oxygen bagus pandemi lancar jaya kendala los merah kesini kena los merah rusak kotak oxygen ya tiang listrik tahun kali ganti kabel fiber lho kocak tambah layan customer ya bohongin sayabilang ya rubah tanggal jatuh tempo ya tanggal ya tanggal jatuh tempo tanggal tanggal sms jatuh tempo,Negatif
sinyal jelek banget,Positif
menu bayar kartu kredit bayar,Positif
parah nihhlagi sepi diskon diskon nan rame harga bulan naikin naikin harga langgan gapapa langgan naikinudah nama langgan terima kasih cekekmentang corona kali ye manfaatkn keadaanduit ribu musim corona itung rakyat bos untung ya ya,Positif
malam bu langgan wifi troble kabel utama putus chat wa email telepon nya sibuk gilir tunggu suruh bayar gilir sok sibuk telepon call centre sibuk wa sibuk aneh,Positif
asli sih apk sinkron jaring wifinya mbps lot parah gilllaa,Positif
minggu malam jam malam pagi loss teknisi kali ubah parahhhhh,Negatif
hang,Negatif
layan lambat internet email tanggap ya butuh banget wifi wfh,Positif
alhamdulillah lancar,Positif
aplikasi baru setting modem sesuai langsung app ya biar mantau langsung,Positif
parah ganggu bayar telat baik,Negatif
internet aktif susah banget hubung,Positif
aplikasi ya pakai kocak,Negatif
lot,Negatif
nyesal pasang langgan lapor cs responnya tawar cepat cepat responnya complain lambat dasar tanya,Positif
jelek banget wifi oxygenkapokgak profesional bngtdan lot pasang oxygennanti kayak downlemot layan customer care burukgak layan langgan baikuninstal oxygen,Positif
buka aplikasi ya aneh banget,Positif
aplikasi buka bayar tagih,Negatif
sistem banyak down,Negatif
bayar aplikasi lamgsung aplikasi,Negatif
kayak jual jasa langgan pelihara apps ngebug mulu internet lambat speednya sesuai maju ya disumpahin langgan,Positif
salah pakai oxygensbg gamer puas pakai oxygen tingkat,Positif
recomended,Negatif
mantap,Positif
lag,Negatif
bobrok rusak langgan kecewa rekomendasi pakai oxygen,Positif
sampah banget ganggu minggu bayar internet pakai ganggu cs template mulu asih solusi selesai komplain endchat usaha service terima komplain buka jasa bad experience,Positif
layan gabagus komplen jaring ngadat minggu matiin kali lapor jawab tindak jaring jelek bayar ngadat pulsa habis bikin lapor pasti,Positif
bantu,Positif
pakai oxygen sok far ramah kantong kualitas sesuai harga yadulu los putus pindah pakai boxnya oxygen kaya losmantab oxygen tahan,Positif
jelek mati wifi ya,Positif
aplikasi bapuk,Negatif
oxygenberkat sinyal oxygen nilai tes internet kemarin,Positif
cakep banget mueah stabil,Positif
lag game ml ngeping tau stabil,Positif
jaring masalah tunggu teknisi suruh tunggu kali jam cs bilang maaf solusi parah layan tolong tingkat,Positif
oxygen the best murah signal stabil pakai oxygen,Positif
bagus sinyal lumayan,Positif
gilir tagih cepat gilir keluh hahahaha beda ya belah niat masang tinggal kosan gajdi deh blacklist,Negatif
kecewa kopratif mis komunikasi bayar ya pasang bayar ya infoin kalender tau bayar,Positif
oxygen banget down ya suka hilang jaring internetnya huuft keluh rating ya anjlok tindak baik harga kompetitor turun kualitas,Positif
duit balikga masangduit baliksmpe sekaligimanaakapan duit,Negatif
tau tagih gue kena ribu odo koneksi rumah gue jarak meter meter kabel free cari biaya goib meter kabel tambah hitung meter kali ribu rban teknisi bilang kabel tambah meter masang dimna tuh tuh lumayan sanggup bayar gaji teknisi jangn anjir,Positif
internet loss baik,Negatif
bayar langsung aktif sih rugi nih layan sih,Positif
rip jaring ampas ngeleg parah stresss,Negatif
kecewa jaring jelek recomended main game online parah main reconect kadang youtube nge lag,Positif
profesional hadap problem alami customer respon layan buruk teknisi ya sopan ambil kabel tahu customer,Negatif
upgrade speed no tipu mantaaabspokoeee gudgoood,Positif
jelekkkkkklkga full akses situs blokir pmerintahkasih bintang nol,Negatif
los singnal lampu merah lapor tunggu xjam teknisi kece singnalnya los genap bulan langgan kali kayak maju langgan kecewa cs ty jawab enak signal daerah bagus cepat telepon langsung tutup layan baik oxygen,Positif
msang komputer konek wifi capek deh,Positif
uji speed meter aplikasi fungsi,Positif
prosedur pasang repot dibalikin uang sales responsif kecewa mending provider,Negatif
banget loss hari kali loss banget,Positif
ganggu n layan ya bagus n,Positif
oxygen jelek banget tonton youtube lancar pakai orang lancar salesnya tuknag bohong respon menggebugebu biar langgan langgan bodo pakai mbps aplikasi login reset password aplikasi kacau indihome gua,Negatif
jaring bagus layan sales teknisi cs ya buruk,Positif
bayar pakai mandiri baik ribet bikin akun ovo terima kasih,Negatif
performance jaring kapasitas bandwith buruk putus sesuai paket tawar,Positif
sampah banget skrngkomplenan ribet ss test signal lahud tau lemotlag masalah mulugak lu lamamending ganti provider,Negatif
alaaah sales bilang teknisi bilang kembali dana bilang kerja dana refund untung nipu dek,Positif
ok banget,Positif
komplien kali wifi eror perbaikiudah tau rusak tiang tim memperbaikinyaniat sih,Negatif
pakai wifi trouble ya ngelag hilang jaring koneksi buruk banget oxygen,Positif
the best,Negatif
layan buruk internet los kabel putus respon selles ya,Positif
parah banget byr langsung mati mati kaco banget layan ya lelet dm balas komentar ig batas rekomend banget mah,Positif
keren euy harga tejangkau speed jaring lumayan nak denda oxygenid mantap,Positif
bena sinyal bagus kali gadget koneksihp router jarak jatuh tempo batas bayar tagih sinyal kali timbul tenggelam kecuali sudaj batas bayar erti sadar nyata rasa susah akses sinyal,Negatif
provider bapuk rusa tangan berharihari ganti alami provider provider via whatsapp dicuekin jam jam tidur balas via emailbuat mending langgan provider rugi,Positif
mantaps respon cepat internet bagus,Positif
indah ya lost minggu kompensasi ganggu lost aku cepat ya bagus ya dikit ganggu lost moga,Negatif
internet ya respon cs ya,Positif
pakai nih wifi keluh trouble sanagat lambat responyasudah minggu wifi mati tindakanno recomend,Positif
banget ganggu payah banget tangan lelet banget banget ganggu fix udahan pindah capekkk,Positif
bikin apk nanggung bayar ya susah hubung susah serba ribet mudah samasekali,Negatif
alhamdullilah lancar jaya,Positif
masuk daftar suruh sign,Negatif
ragu baca reviewnya berani coba pasang murah pas banget promo mbps salesnya ramah fast respon pasang cepat jaring mantap fix langgan moga tahan jaring rto btw bulan pasang sukses,Positif
ganggu,Negatif
wifi loss kabar telpon chat servis respon telpon angkat wa read doang hadeeh layan banget,Positif
parah benerin gara gara los los detik los kecewa,Negatif
langgan oxygen koneksi internet masalah terputusputus koneksi jaring lambat pakai parah aplikasi billing bayar butuh pelangga sedia layan sedia manajem aplikasi cermin betapa tutup oxygen keluh langgan,Positif
kemarin los merah komplain nethink reviewnya jelek teknisi baik langsung pulih moga los oxygen depa tanggap biar komplen,Positif
sampah ngelag benerin bug codingan ya bingung,Positif
coba bantu user id password alamat email ya saudara aplikasi simple banget tingkat size ya contoh aplikasi lapak belah sih fm,Positif
update login,Positif
ya lumayan,Positif
kadang lag kadang kagak,Positif
layan buruk banget hubung internet tagih bayar jatuh tempo complain email tanggap complain telp suruh tunggu adek adek sekolah via zoom,Positif
aplikasi ya bagus berat banget aplikasi doal jaring tes speed lancar pakai data lancar wifi lancar loadnya banget voba baik biar user experience ya depan,Positif
gangguantersambung internet,Negatif
kacaw respon internetnya jelek,Positif
id koneksi problem total solved sucks coba pakai aps tau ya link cs wa langsung end chat coba link cs solved jelek banget layan,Positif
oxygen mbps rp beda sih cuman pakai laptop connect wifi lelet kali wifi ya support mbps hp bagus ping turun first media mbps rp jaring stabil kencang saing oxygen mnc play ping mbps tonton youtube ngelag oxygen tolong naikin speed mbps takut langgan maju tarik langgan setia,Positif
payah bilang harga promo tetiba harga naik edan,Positif
the most disgusting provider ever worst experience star just for the cheap price,Negatif
bagus andal,Positif
heran daftar email ya aplikasi beda administrasi runyam banget ya,Positif
tipu brengsek susah buang internet oxygen susah rugi orang,Negatif
jujur jaring internet wilayah domisili tinggal bagus benarbenar cepat app ya ok sisi layan customer service ya responnya lambat tangan solutif,Positif
aplikasi login susah masuk pasword bikin paswordnya pakai lupa pasword pasuk id langgan tekan reset hilang cek email email tolong bikin aplikasi mudah,Negatif
layan lelet lambat keong internet no ascses reset system kali gek,Positif
login sih,Positif
csnya langsung cakap tulis biar jasa baca kirim dikit dikit langsung cakap ya debes o,Positif
ya bayar tagih aplikasi tulis lunas sih lihat aplikasi,Negatif
dc kacau tlat bayar nagihnya kayak tau dc solusi,Negatif
buruk,Negatif
layan bagus internet cepat bukti benar terimakasih,Positif
suka najis banget miskin kah pindahin router kamar bayar ribu najis,Negatif
bayar kali oxygen tanggap suruh bayar oxygen professional pakai wifi oxygen,Negatif
oxygen tolol otak gue bayar mahal mahal jaring ya jelk gue bayar pakai duit baik tuh provider buruk rugi orang,Positif
aplikasi eror bugnya tampil muncul guna baru,Negatif
layan jaring internet ok sayang chat cs balesnya banget sop merespon konsumen keluh,Positif
pakai alhamdulillah jaring stabil murah,Positif
ganggu internet tangan lambat kecewa,Positif
selfcare status bayardi aplikasi lunas aneh ya bunda,Positif
mudah ukur oksigen tubuh rumah,Positif
provider begobelum bulan losssales tanggung jawabnanya cs gagumao adu mana,Negatif
terimakasih,Positif
speednya muas bayar tolong tambah transfer bankmerchant belanja online,Positif
layan lambat internet hilang nelpon cs ngabisin pulsa cs wa balasanya lapor minggu teknisi ditlp cs selesai internet kacau parah sesal pakai oxygen,Negatif
aplikasi langgan oxygen oke banget biar langgan oxygen cek status info lainnyaoxygen gakbisapelan,Positif
langgan salah alhamdulillah jarang ganggu pakai internet indiglo banget ganggu,Negatif
tipu speed sesuai cs wa selesai call center dihibungin bubarin mending,Positif
buka aplikasi swndiri susah buka pakai wifi oxygen wifinya ok wa aplikasi buka speed coba upgret mbps bae max wis angel angel,Negatif
fungsionalitas apk bagus perhati tingkat keman akun jaga data,Negatif
aplikasi buka melulu,Negatif
respon sesal pakai oxygen internet adatelek oxygen,Positif
buset bayar tanggal november tagih tanggal desember suspend mati tanggal desember gila sih provider,Negatif
berteletele,Negatif
ok good aplication,Positif
aplikasi layan oxygen,Negatif
bantu cust internet ya kencang jangkau,Positif
sih wifi oxigen mati errorbikin kesel ajamasa lapor terus,Positif
mantap,Positif
pas pasang kendala lancar jaya tonton youtube loading tonton siar televisi loading banget ganggu pas tonton pakai an perbualn sinyal wifi alhamdulillah aman bayar aman ya telat jatuh tempo asa maju,Positif
sinyal turun sesuai harga,Positif
jelek lelet,Negatif
app ya buka tolong,Positif
aplikasi buka hitam doang kuar ya payah programer ya,Positif
malam mati internet jam ca hubstatus sambung internet ya trik duit jelang lebaran,Negatif
rekomen,Positif
aplikasi buka tampil ijo doang,Negatif
oke gara reset password error nih min pas lihat ulas isi keluh puas bilang aplikasi nih,Positif
instal apl asih tau minat pasang internet oxygen saran pikir minggu kali internet putus putus hari coba cari nih ampun deh pakai oxygen,Negatif
kesini busuk jaring ya lapor cs sales selesai ya,Positif
mohon tambah fiturfitur self upgrade speed dll,Positif
apk buruk login,Negatif
good salah pilih jaring,Positif
tagih bamget kesini suee,Negatif
ok moga bantu,Positif
jaring jelek customer service template jawab balas banget,Positif
aplikasi ya error login,Negatif
pasang internet real time anjlok pasang mbps cuman speed mbps cek speed via kabel lan,Positif
pakai sambung no connection call cs tangan sinyal kuat kecewa wajar providernya laku kasih tarif murah tolong baik ya,Positif
internet lumayan bagus,Positif
tolong tagih jatuh tempo ubah rubah kesini,Negatif
system otomatis invoice ya karuan kecewa beda pascabayar masak invoicenya hitung masuk tagih tanggal bayar tangga ini pasang bayar pasang pakai system ya bayar maka prabayar beli quota maka kecewa telat bayar masuk tagih tanggal no internet acces,Negatif
mantap oxygen wifi,Positif
nih aplikasi isi bayar fasilitas kontrol connect perinci cepat real ya unggul oxygen sih sedia internet bodoh aplikasi,Positif
aplikasi ya bantu good,Positif
good llahh,Positif
oxygen pakai suka delay jaringannyapembyaran ontime qualitas turun,Negatif
los,Positif
kereennnn,Positif
internet lancar harga murah uras kantong pokok top deh,Positif
nih menit buka channel tv kagak iklan mulu suruh bayar tagih oxygen pakai ovo iklan tau tinggal acara tv favorit tolong kurang iklan bayar iklan kali orang sabar tonton channel tv suka iklan,Negatif
wifi swasta buruk atur kendala jaring menang harga murah tau gajadi pasang,Negatif
kecewa wifi kacaw pokok gabener csnya lambat,Positif
bayar aplikasi,Negatif
puas pokok oxygen,Positif
jaring wifi stabil telfon cs respon ketemu teknisi bilang cek kabur jelek banget layan tukang tipu,Positif
reset paswod login,Positif
malam loss goblok rugi,Negatif
pakai minim kendala kendala cs teknisi cepat atas solusi naik harga wlpn masangnya pas promo internet stabil layan bagus pokok bagus tahan ya,Positif
komplain susah whatsapp balas panggil langsung angkat payah,Negatif
bagus lot butuh baik sistem,Negatif
pakai wifi menyesalada keluh nanggapi botkita hubung pasang peduli lapor ulang ulang gunanyabayaran tetapnamun pakai,Positif
mantap harga murah koneksi ok harga stabil mantap,Positif
cs whatsapp ya balas tbtb pas chat suruh selesai aneh,Positif
bulan sih bagus,Negatif
aplikasi fungsi coba logout,Negatif
bayar telat gilir jaring lot loh langgan jaring lot pengin ganti ya,Positif
alhamdulillah hardware ya ramah banget mohon sabar maklum kondisi anak sekolah butuh internet minggu pegang inti sabar moga berkah,Positif
bagus sumpah jelek banget parah rumah hari nyalah complaint mana tanggepin tanggepin ganggu,Negatif
sinyal tolol lag,Negatif
wifi jelek blok betulin ngelag tlol,Negatif
ganggu csnya chat pasti,Positif
sumpah kali masang wifi ribet banget bayar kudu gercep deposit teknisi lokasi cek gilir tunggu refund ya banget kerja,Positif
masuk jaring ujan lemah sesal gue pakai nih wifi,Positif
ganggu gunakanpenanganan ya,Positif
masuk musim hujan jaring ganggu kali minggu komplain masalah jaring bobrok,Negatif
wifi murah kualitas baca ulas problem telepon call center telepon sales kadang manusia baca mikir,Positif
hati hati pasang oxigen pindah rumah ditawarin sales pindah biaya lagisaya bayar muka aju pasang bayar alesannya jaring full penuh duit masuk dikemblikan hati jadi orang nomer id,Positif
respon ya bayar tunggu jam biar internet ya hidup baik reponnya,Positif
mantan anti lelet,Negatif
los los los los parah banget balum pakai kendala kedip merah los salesnya low respon banget dichat teknisi wo luncur menghadeuh,Positif
pakai aplikasi login login reset password via emailno langgan balas email daftar balikin,Positif
oxygen top harga flat kuota unlimited kwalitasnya kalengkaleng pokok oxygenid ya,Positif
sinyal los pakai cs ya beda kadang bilang tiang bilang perijinan rtrw parahhhhh,Positif
jaring wifi tv ya jelek sesal pasang oxygen,Positif
lot ya buka youtube ngadat mulu,Negatif
good,Positif
payah jaring hilang nih tolong baik,Positif
aneh sinyal hilang timbul,Negatif
isi password tau passwordnya,Negatif
niat sih aplikasi reset password berfungsisy benar nih niat aplikasi,Negatif
bikin aplikasi niat reset password cek tagih web bayar blibli dana status tunggak bayar wifi pakai,Negatif
losss bulan coba bayar bulan,Negatif
bayar doang dinaikin fasilitas konsumen jelek parah sinyal ya suka putus langgan tahun paket mbak tolong baik kecewa konsumen langgan pindah langgan kayak,Positif
ngeluh jaring daerahnye suport alhamdulillah aman jaya,Positif
good app,Positif
good,Positif
mantap thanks banget oxygen internet lancar not lagging ngezoom lancar harga jangkau cssalesteknisi fast respon solusi baik wfh learning based home sukses,Positif
nama selfcare komputer cs ya kasih jelas tunggu balesnya sekali balas cakap tutup ganti nama selftcare bootcare,Negatif
mantab,Negatif
sial nih provider sumpah ngerampok habis duit gue bayar bulan habis muncul bill mending cabut,Negatif
tolol internet cabut telpon cs henti langgan perangkat diambilpadahal perangkat rumah ambil tolol bayar minggu,Negatif
id mohon bantu los kedip merah koneksi internet teknisi ya baik parah cabut ogah bayar gue,Negatif
aplikasi ok banget bantu cek tagih promo bonus upgrade speed gratis,Positif
kecewa bayar putus oxygen bolh masuk wilayah malaka sari duren sawit knapa rw balikin uang,Negatif
mantapnbanget,Positif
mohon baik,Negatif
psg bagus koneksi cptkn kesini lot minggu signal gilang koneksi buang alih data bdmn cs servis peyanan semkn buruk kecewa banget komplain akhirny puas layan,Negatif
good apps,Positif
buka,Negatif
login,Negatif
buruk banget layan asliwifinya bagus sdm ya bobrok janji konsisten,Positif
bagus lancar n moga lancar jaya,Positif
tangan tindak apa suruh tunggu tunggu tunggu,Negatif
oxygen parah daerah duri kepa internet putus hujan internet putus kecewa recommended,Negatif
ok kadang lag baharu sistem jam jam an tau internet lot banget pakai jaring satelit kadang internet down pungkiri oksigen kasih double bandwidth murah pandemi kepake anak home learning baik jaring kuat signal kencengnua internet customer oksigen puas,Negatif
mantap bro aplikasi ya bagus fitur wifi ya kencang fup,Positif
kendala cs teknisi ya bilang doang gilir urus bayar telat jam langsung mati internet ya wkwk,Positif
recomend instal oxygen layan buruk jaring bagus baik,Positif
bogor,Positif
pakai oxygen daerah duren sawit aman aman ganggu larut larut ganggu cs cepat tanggap teknisi tangan,Negatif
lapor ganggu,Positif
susah buka aplikasi yamau bayar susah,Negatif
kira bagus cwuihhh ampas koneksi internet langsung mati merah layan customernya manis pas masang pas kendala langsung kayak tangung pasang manis awal langsung hilang jaring,Positif
internet ya stabil cepat harga murah banding,Positif
koneksi stabil cs slow respond,Positif
main game ping ya gila,Positif
kode verifikasi restart modem mandiri kirim tolong baik,Negatif
update tinggal kasih ingat gua buka cek tenggang keluar mulu sih tuman,Negatif
provider bagus banget jaring harga stabil mantap,Positif
bagus sayang maksimal guna,Positif
diperbaruidipake,Positif
cacad kadang kadang acces,Positif
wifi oxygen kencang unlimited banget deh,Positif
very informative thank you,Positif
pakai jelek jaring jelek minggu mati henti langgan suruh bayar ribu parah,Negatif
canggih,Negatif
